Time,Event Time,State at A,State at B,Comment
s,s,State,State,

0,0.000000,0,1,
0.002168,0.002168,1,1,
0.0230239,0.023024,0,1,
0.02556,0.025560,0,0,
0.4842959,0.484296,0,1,
0.5088,0.508800,0,0,
0.519992,0.519992,1,0,
0.541808,0.541808,0,0,
0.986424,0.986424,0,1,
1.009248,1.009248,0,0,
1.013504,1.013504,1,0,
1.0371439,1.037144,0,0,
1.49156,1.491560,1,0,
1.507768,1.507768,1,1,
1.515784,1.515784,0,1,
1.530128,1.530128,0,0,
1.978184,1.978184,1,0,
2.0008799,2.000880,0,0,
2.01516,2.015160,0,1,
2.0391199,2.039120,0,0,
2.4925679,2.492568,1,0,
2.50448,2.504480,1,1,
2.513624,2.513624,0,1,
2.5304159,2.530416,0,0,
2.9790159,2.979016,0,1,
3.0043759,3.004376,0,0,
3.00964,3.009640,1,0,
3.031232,3.031232,0,0,
3.479944,3.479944,0,1,
3.503216,3.503216,0,0,
3.5140399,3.514040,1,0,
3.537648,3.537648,0,0,
3.991344,3.991344,1,0,
3.994136,3.994136,1,1,
4.015808,4.015808,0,1,
4.0166959,4.016696,0,0,
4.474952,4.474952,1,0,
4.498312,4.498312,0,0,
4.511632,4.511632,0,1,
4.53536,4.535360,0,0,
4.97984,4.979840,1,0,
5.001496,5.001496,0,0,
5.002232,5.002232,0,1,
5.0278159,5.027816,0,0,
5.481568,5.481568,0,1,
5.501072,5.501072,1,1,
5.5076,5.507600,1,0,
5.5224399,5.522440,0,0,
5.969144,5.969144,0,1,
5.993432,5.993432,0,0,
6.008648,6.008648,1,0,
6.03164,6.031640,0,0,
6.485464,6.485464,0,1,
6.494904,6.494904,1,1,
6.508128,6.508128,1,0,
6.519824,6.519824,0,0,
6.970136,6.970136,1,0,
6.994296,6.994296,0,0,
7.000632,7.000632,0,1,
7.024016,7.024016,0,0,
7.471792,7.471792,1,0,
7.493872,7.493872,0,0,
7.504144,7.504144,0,1,
7.529728,7.529728,0,0,
7.9796159,7.979616,0,1,
7.988216,7.988216,1,1,
8.006008,8.006008,1,0,
8.0097119,8.009712,0,0,
8.4663039,8.466304,0,1,
8.49128,8.491280,0,0,
8.504472,8.504472,1,0,
8.5272399,8.527240,0,0,
8.9715519,8.971552,0,1,
8.9940799,8.994080,1,1,
8.9948799,8.994880,1,0,
9.0187119,9.018712,0,0,
9.4713039,9.471304,1,0,
9.493376,9.493376,1,1,
9.4961519,9.496152,0,1,
9.516544,9.516544,0,0,
9.9612399,9.961240,1,0,
9.9843359,9.984336,0,0,
9.998,9.998000,0,1,
10.0230159,10.023020,0,0,
10.4781839,10.478180,1,0,
10.4840399,10.484040,1,1,
10.499792,10.499790,0,1,
10.5109039,10.510900,0,0,
10.9595519,10.959550,0,1,
10.9855119,10.985510,0,0,
10.9944879,10.994490,1,0,
11.0169199,11.016920,0,0,
11.4640879,11.464090,0,1,
11.4878319,11.487830,0,0,
11.495448,11.495450,1,0,
11.5200559,11.520060,0,0,
11.9702559,11.970260,1,0,
11.9796079,11.979610,1,1,
11.9955439,11.995540,0,1,
12.00288,12.002880,0,0,
12.456712,12.456710,1,0,
12.4804559,12.480460,0,0,
12.4953279,12.495330,0,1,
12.520088,12.520090,0,0,
12.964768,12.964770,1,0,
12.9820559,12.982060,1,1,
12.98692,12.986920,0,1,
13.008664,13.008660,0,0,
13.461016,13.461020,0,1,
13.48628,13.486280,1,1,
13.487704,13.487700,1,0,
13.508448,13.508450,0,0,
13.952016,13.952020,0,1,
13.97676,13.976760,0,0,
13.9907999,13.990800,1,0,
14.01484,14.014840,0,0,
14.4706799,14.470680,0,1,
14.4736799,14.473680,1,1,
14.493984,14.493980,1,0,
14.499488,14.499490,0,0,
14.950392,14.950390,1,0,
14.975048,14.975050,0,0,
14.984784,14.984780,0,1,
15.0091119,15.009110,0,0,
15.4557999,15.455800,1,0,
15.478352,15.478350,0,0,
15.4847359,15.484740,0,1,
15.511416,15.511420,0,0,
15.958208,15.958210,0,1,
15.9733439,15.973340,1,1,
15.9853999,15.985400,1,0,
15.995544,15.995540,0,0,
16.447816,16.447820,0,1,
16.473256,16.473260,0,0,
16.4875039,16.487500,1,0,
16.5113759,16.511380,0,0,
16.9560879,16.956090,0,1,
16.973128,16.973130,1,1,
16.9799519,16.979950,1,0,
16.998672,16.998670,0,0,
17.450376,17.450380,1,0,
17.475848,17.475850,0,0,
17.4779199,17.477920,0,1,
17.5019679,17.501970,0,0,
17.943952,17.943950,1,0,
17.9674479,17.967450,0,0,
17.979352,17.979350,0,1,
18.005456,18.005460,0,0,
18.4623439,18.462340,0,1,
18.463096,18.463100,1,1,
18.48528,18.485280,0,1,
18.490088,18.490090,0,0,
18.9396479,18.939650,0,1,
18.96612,18.966120,0,0,
18.9780799,18.978080,1,0,
19.0014079,19.001410,0,0,
19.447744,19.447740,0,1,
19.4719439,19.471940,0,0,
19.4753279,19.475330,1,0,
19.5009039,19.500900,0,0,
19.948248,19.948250,1,0,
19.9641999,19.964200,1,1,
19.9742799,19.974280,0,1,
19.9882159,19.988220,0,0,
20.438152,20.438150,1,0,
20.4622159,20.462220,0,0,
20.4775679,20.477570,0,1,
20.5034079,20.503410,0,0,
20.949112,20.949110,1,0,
20.9604799,20.960480,1,1,
20.9717199,20.971720,0,1,
20.9880879,20.988090,0,0,
21.4398239,21.439820,0,1,
21.46708,21.467080,0,0,
21.47044,21.470440,1,0,
21.493408,21.493410,0,0,
21.9345279,21.934530,0,1,
21.9596959,21.959700,0,0,
21.9713439,21.971340,1,0,
21.996464,21.996460,0,0,
22.451344,22.451340,1,0,
22.4550399,22.455040,1,1,
22.47788,22.477880,0,1,
22.479,22.479000,0,0,
22.9302159,22.930220,1,0,
22.9553759,22.955380,0,0,
22.967616,22.967620,0,1,
22.9929359,22.992940,0,0,
23.439224,23.439220,1,0,
23.4622159,23.462220,0,0,
23.4637599,23.463760,0,1,
23.491528,23.491530,0,0,
23.935864,23.935860,0,1,
23.9575039,23.957500,1,1,
23.963776,23.963780,1,0,
23.9804559,23.980460,0,0,
24.4290159,24.429020,0,1,
24.4548399,24.454840,0,0,
24.469016,24.469020,1,0,
24.493872,24.493870,0,0,
24.9399439,24.939940,0,1,
24.950816,24.950820,1,1,
24.9643679,24.964370,1,0,
24.9772639,24.977260,0,0,
25.4287439,25.428740,1,0,
25.4547199,25.454720,0,0,
25.4613279,25.461330,0,1,
25.4863119,25.486310,0,0,
25.9263199,25.926320,1,0,
25.9501439,25.950140,0,0,
25.9590639,25.959060,0,1,
25.9862639,25.986260,0,0,
26.4394879,26.439490,0,1,
26.4472,26.447200,1,1,
26.468048,26.468050,1,0,
26.4699919,26.469990,0,0,
26.919256,26.919260,0,1,
26.9461919,26.946190,0,0,
26.9603759,26.960380,1,0,
26.984656,26.984660,0,0,
27.430896,27.430900,0,1,
27.4534399,27.453440,1,1,
27.455592,27.455590,1,0,
27.480136,27.480140,0,0,
27.925464,27.925460,1,0,
27.947752,27.947750,1,1,
27.952096,27.952100,0,1,
27.972584,27.972580,0,0,
28.4191519,28.419150,1,0,
28.443624,28.443620,0,0,
28.458328,28.458330,0,1,
28.485304,28.485300,0,0,
28.9327759,28.932780,1,0,
28.937432,28.937430,1,1,
28.955968,28.955970,0,1,
28.966008,28.966010,0,0,
29.418096,29.418100,0,1,
29.445872,29.445870,0,0,
29.453272,29.453270,1,0,
29.4772559,29.477260,0,0,
29.9166,29.916600,0,1,
29.942208,29.942210,0,0,
29.9502879,29.950290,1,0,
29.976456,29.976460,0,0,
30.427864,30.427860,1,0,
30.438664,30.438660,1,1,
30.455152,30.455150,0,1,
30.4633519,30.463350,0,0,
30.9096959,30.909700,1,0,
30.9352639,30.935260,0,0,
30.949072,30.949070,0,1,
30.975464,30.975460,0,0,
31.42224,31.422240,1,0,
31.4412639,31.441260,1,1,
31.445648,31.445650,0,1,
31.470128,31.470130,0,0,
31.912824,31.912820,0,1,
31.940784,31.940780,1,1,
31.941392,31.941390,1,0,
31.9644799,31.964480,0,0,
32.4099999,32.410000,0,1,
32.4362,32.436200,0,0,
32.448544,32.448540,1,0,
32.475048,32.475050,0,0,
32.923288,32.923290,0,1,
32.9269679,32.926970,1,1,
32.948296,32.948300,1,0,
32.9553359,32.955340,0,0,
33.4068479,33.406850,1,0,
33.433144,33.433140,0,0,
33.443656,33.443660,0,1,
33.46964,33.469640,0,0,
33.908504,33.908500,1,0,
33.9326639,33.932660,0,0,
33.9372479,33.937250,0,1,
33.9655519,33.965550,0,0,
34.41572,34.415720,0,1,
34.4306799,34.430680,1,1,
34.4450239,34.445020,1,0,
34.454184,34.454190,0,0,
34.89872,34.898720,0,1,
34.926072,34.926070,0,0,
34.9413119,34.941310,1,0,
34.9666799,34.966680,0,0,
35.4137119,35.413710,0,1,
35.430096,35.430100,1,1,
35.4389199,35.438920,1,0,
35.457848,35.457850,0,0,
35.9021599,35.902160,1,0,
35.92932,35.929320,0,0,
35.930416,35.930420,0,1,
35.95612,35.956120,0,0,
36.400008,36.400010,1,0,
36.424904,36.424900,0,0,
36.437584,36.437580,0,1,
36.465744,36.465740,0,0,
36.9132559,36.913260,0,1,
36.915856,36.915860,1,1,
36.9397199,36.939720,0,1,
36.9427279,36.942730,0,0,
37.396144,37.396140,0,1,
37.424392,37.424390,0,0,
37.4349999,37.435000,1,0,
37.459984,37.459980,0,0,
37.898472,37.898470,0,1,
37.924544,37.924550,0,0,
37.9277279,37.927730,1,0,
37.954896,37.954900,0,0,
38.40352,38.403520,1,0,
38.42156,38.421560,1,1,
38.431576,38.431580,0,1,
38.447032,38.447030,0,0,
38.889072,38.889070,1,0,
38.9149679,38.914970,0,0,
38.9291599,38.929160,0,1,
38.9566559,38.956660,0,0,
39.4048559,39.404860,1,0,
39.4173199,39.417320,1,1,
39.4287439,39.428750,0,1,
39.447216,39.447220,0,0,
39.889288,39.889290,0,1,
39.918464,39.918460,0,0,
39.9229599,39.922960,1,0,
39.947544,39.947540,0,0,
40.390656,40.390660,0,1,
40.4172639,40.417260,0,0,
40.427544,40.427540,1,0,
40.454592,40.454590,0,0,
40.9022159,40.902220,1,0,
40.9058639,40.905860,1,1,
40.9304879,40.930490,0,1,
40.93156,40.931560,0,0,
41.38464,41.384640,1,0,
41.4114,41.411400,0,0,
41.424608,41.424610,0,1,
41.451712,41.451710,0,0,
41.890104,41.890100,1,0,
41.913824,41.913820,1,1,
41.914792,41.914790,0,1,
41.9432959,41.943290,0,0,
42.39116,42.391160,0,1,
42.412976,42.412980,1,1,
42.4211759,42.421180,1,0,
42.437304,42.437310,0,0,
42.8778559,42.877860,0,1,
42.905632,42.905630,0,0,
42.9206559,42.920650,1,0,
42.9471439,42.947140,0,0,
43.39584,43.395840,0,1,
43.405384,43.405380,1,1,
43.4216399,43.421640,1,0,
43.434,43.434000,0,0,
43.878344,43.878350,1,0,
43.9061359,43.906140,0,0,
43.9117679,43.911770,0,1,
43.938488,43.938490,0,0,
44.380528,44.380530,1,0,
44.405744,44.405740,0,0,
44.415256,44.415260,0,1,
44.444648,44.444650,0,0,
44.8879359,44.887940,0,1,
44.8981919,44.898190,1,1,
44.9183199,44.918320,1,0,
44.9226479,44.922650,0,0,
45.373872,45.373870,0,1,
45.402496,45.402500,0,0,
45.4154,45.415400,1,0,
45.441392,45.441390,0,0,
45.8797999,45.879800,0,1,
45.903608,45.903610,1,1,
45.9063279,45.906330,1,0,
45.931888,45.931890,0,0,
46.3785359,46.378540,1,0,
46.4033919,46.403390,1,1,
46.407168,46.407170,0,1,
46.429752,46.429750,0,0,
46.868224,46.868230,1,0,
46.894472,46.894470,0,0,
46.9076479,46.907650,0,1,
46.936344,46.936340,0,0,
47.386792,47.386790,1,0,
47.3920879,47.392090,1,1,
47.411248,47.411250,0,1,
47.4229999,47.423000,0,0,
47.865376,47.865380,0,1,
47.89508,47.895080,0,0,
47.903968,47.903970,1,0,
47.929528,47.929530,0,0,
48.3710399,48.371040,0,1,
48.3980559,48.398060,0,0,
48.404328,48.404330,1,0,
48.4326239,48.432620,0,0,
48.8764399,48.876440,1,0,
48.8876639,48.887660,1,1,
48.9054559,48.905460,0,1,
48.9141039,48.914100,0,0,
49.362272,49.362270,1,0,
49.3893999,49.389400,0,0,
49.4042879,49.404290,0,1,
49.432576,49.432580,0,0,
49.87144,49.871440,1,0,
49.888968,49.888970,1,1,
49.896584,49.896580,0,1,
49.919568,49.919570,0,0,
50.3661199,50.366120,0,1,
50.394504,50.394500,1,1,
50.3967279,50.396730,1,0,
50.41972,50.419720,0,0,
50.856984,50.856980,0,1,
50.885112,50.885110,0,0,
50.8986159,50.898620,1,0,
50.9262159,50.926220,0,0,
51.377536,51.377540,0,1,
51.379504,51.379510,1,1,
51.4039519,51.403950,1,0,
51.4090799,51.409080,0,0,
51.8544,51.854400,1,0,
51.882624,51.882630,0,0,
51.8921599,51.892160,0,1,
51.919928,51.919930,0,0,
52.3609839,52.360980,1,0,
52.386528,52.386530,0,0,
52.3914479,52.391450,0,1,
52.422072,52.422070,0,0,
52.861936,52.861930,0,1,
52.87992,52.879920,1,1,
52.8931119,52.893110,1,0,
52.9051039,52.905110,0,0,
53.3516239,53.351620,0,1,
53.380584,53.380580,0,0,
53.39456,53.394560,1,0,
53.4216879,53.421690,0,0,
53.860984,53.860980,0,1,
53.878112,53.878110,1,1,
53.888008,53.888010,1,0,
53.907472,53.907470,0,0,
54.353296,54.353290,1,0,
54.382416,54.382420,0,0,
54.384456,54.384460,0,1,
54.411776,54.411780,0,0,
54.8474559,54.847460,1,0,
54.874048,54.874050,0,0,
54.88488,54.884880,0,1,
54.914792,54.914790,0,0,
55.365896,55.365890,0,1,
55.368408,55.368410,1,1,
55.393504,55.393510,0,1,
55.397736,55.397740,0,0,
55.841552,55.841550,0,1,
55.871696,55.871700,0,0,
55.884016,55.884010,1,0,
55.910624,55.910630,0,0,
56.35144,56.351440,0,1,
56.378856,56.378860,0,0,
56.379856,56.379860,1,0,
56.409296,56.409290,0,0,
56.850168,56.850170,1,0,
56.868952,56.868950,1,1,
56.879896,56.879890,0,1,
56.8961999,56.896200,0,0,
57.340088,57.340090,1,0,
57.367536,57.367530,0,0,
57.3827839,57.382790,0,1,
57.412296,57.412300,0,0,
57.852616,57.852620,1,0,
57.862976,57.862980,1,1,
57.878248,57.878250,0,1,
57.894648,57.894650,0,0,
58.34096,58.340960,0,1,
58.372072,58.372070,0,0,
58.375248,58.375250,1,0,
58.401392,58.401390,0,0,
58.836192,58.836190,0,1,
58.864672,58.864670,0,0,
58.8752079,58.875210,1,0,
58.903976,58.903980,0,0,
59.352752,59.352750,1,0,
59.358832,59.358830,1,1,
59.383184,59.383180,0,1,
59.3859359,59.385940,0,0,
59.830608,59.830610,1,0,
59.859168,59.859170,0,0,
59.871456,59.871460,0,1,
59.900352,59.900350,0,0,
60.3414,60.341400,1,0,
60.3663599,60.366360,1,1,
60.367336,60.367340,0,1,
60.398192,60.398190,0,0,
60.835536,60.835540,0,1,
60.861,60.861000,1,1,
60.867416,60.867420,1,0,
60.886984,60.886990,0,0,
61.329536,61.329540,0,1,
61.358816,61.358810,0,0,
61.372448,61.372450,1,0,
61.4007759,61.400780,0,0,
61.841856,61.841850,0,1,
61.851496,61.851500,1,1,
61.86944,61.869440,1,0,
61.8818639,61.881860,0,0,
62.32804,62.328040,1,0,
62.357576,62.357570,0,0,
62.364664,62.364660,0,1,
62.393024,62.393020,0,0,
62.8267599,62.826760,1,0,
62.853696,62.853690,0,0,
62.860736,62.860740,0,1,
62.891896,62.891900,0,0,
63.338968,63.338970,0,1,
63.349568,63.349570,1,1,
63.3716479,63.371650,1,0,
63.375344,63.375340,0,0,
63.817848,63.817850,0,1,
63.8483679,63.848370,0,0,
63.8628799,63.862880,1,0,
63.890608,63.890610,0,0,
64.331712,64.331710,0,1,
64.35404,64.354040,1,1,
64.3595759,64.359570,1,0,
64.3845999,64.384600,0,0,
64.823504,64.823500,1,0,
64.849504,64.849500,1,1,
64.853888,64.853890,0,1,
64.87764,64.877640,0,0,
65.318096,65.318090,1,0,
65.345784,65.345790,0,0,
65.359976,65.359980,0,1,
65.390784,65.390790,0,0,
65.83348,65.833480,1,0,
65.8359119,65.835910,1,1,
65.85964,65.859640,0,1,
65.868616,65.868610,0,0,
66.3157839,66.315780,0,1,
66.3473279,66.347330,0,0,
66.3550719,66.355070,1,0,
66.38224,66.382240,0,0,
66.81544,66.815440,0,1,
66.84428,66.844280,0,0,
66.8503999,66.850400,1,0,
66.88036,66.880360,0,0,
67.325368,67.325370,1,0,
67.3396159,67.339610,1,1,
67.3565519,67.356550,0,1,
67.367488,67.367490,0,0,
67.8069919,67.806990,1,0,
67.8358559,67.835850,0,0,
67.849632,67.849630,0,1,
67.8797039,67.879710,0,0,
68.321664,68.321660,1,0,
68.339928,68.339930,1,1,
68.348056,68.348050,0,1,
68.372936,68.372930,0,0,
68.808888,68.808890,0,1,
68.84128,68.841280,1,1,
68.841368,68.841370,1,0,
68.868168,68.868170,0,0,
69.3075679,69.307570,0,1,
69.337136,69.337140,0,0,
69.3489199,69.348920,1,0,
69.37852,69.378520,0,0,
69.8224,69.822400,0,1,
69.823848,69.823840,1,1,
69.8506,69.850600,1,0,
69.8551279,69.855130,0,0,
70.302808,70.302810,1,0,
70.33272,70.332720,0,0,
70.343848,70.343850,0,1,
70.373344,70.373340,0,0,
70.806112,70.806110,1,0,
70.8333679,70.833370,0,0,
70.835128,70.835130,0,1,
70.867536,70.867540,0,0,
71.311424,71.311420,0,1,
71.3301199,71.330120,1,1,
71.3448399,71.344840,1,0,
71.356664,71.356670,0,0,
71.794288,71.794290,0,1,
71.825144,71.825140,0,0,
71.8404719,71.840470,1,0,
71.869376,71.869380,0,0,
72.311792,72.311790,0,1,
72.326824,72.326820,1,1,
72.34016,72.340160,1,0,
72.358488,72.358490,0,0,
72.7967199,72.796720,1,0,
72.827608,72.827610,0,0,
72.8291919,72.829190,0,1,
72.8583199,72.858320,0,0,
73.2962079,73.296210,1,0,
73.3241599,73.324160,0,0,
73.3357279,73.335730,0,1,
73.3678559,73.367860,0,0,
73.8078879,73.807880,0,1,
73.81396,73.813960,1,1,
73.8407359,73.840740,0,1,
73.8415359,73.841540,0,0,
74.2907039,74.290700,0,1,
74.3226,74.322600,0,0,
74.333776,74.333780,1,0,
74.362056,74.362050,0,0,
74.7946559,74.794650,0,1,
74.823888,74.823890,0,0,
74.8241039,74.824100,1,0,
74.855232,74.855230,0,0,
75.2974639,75.297460,1,0,
75.3197359,75.319730,1,1,
75.3293039,75.329310,0,1,
75.348472,75.348470,0,0,
75.783568,75.783570,1,0,
75.8127119,75.812710,0,0,
75.826416,75.826420,0,1,
75.85776,75.857760,0,0,
76.301704,76.301700,1,0,
76.31224,76.312240,1,1,
76.3285839,76.328580,0,1,
76.346368,76.346370,0,0,
76.782152,76.782150,0,1,
76.815152,76.815160,0,0,
76.820656,76.820660,1,0,
76.848528,76.848530,0,0,
77.2856879,77.285690,0,1,
77.315568,77.315570,0,0,
77.3239119,77.323910,1,0,
77.3547919,77.354790,0,0,
77.795344,77.795340,1,0,
77.802464,77.802470,1,1,
77.8275039,77.827510,0,1,
77.831368,77.831370,0,0,
78.277768,78.277770,1,0,
78.307968,78.307970,0,0,
78.321848,78.321850,0,1,
78.3525839,78.352580,0,0,
78.785376,78.785380,1,0,
78.808104,78.808110,1,1,
78.813024,78.813030,0,1,
78.841752,78.841750,0,0,
79.2835039,79.283500,0,1,
79.3099759,79.309970,1,1,
79.3175519,79.317550,1,0,
79.3373759,79.337380,0,0,
79.770944,79.770940,0,1,
79.8020959,79.802090,0,0,
79.816656,79.816660,1,0,
79.8468,79.846800,0,0,
80.2915759,80.291570,0,1,
80.29844,80.298440,1,1,
80.320504,80.320500,1,0,
80.3311119,80.331120,0,0,
80.7699679,80.769970,1,0,
80.8012639,80.801260,0,0,
80.807912,80.807910,0,1,
80.8381359,80.838130,0,0,
81.274424,81.274420,1,0,
81.3026639,81.302670,0,0,
81.3099759,81.309970,0,1,
81.3434559,81.343450,0,0,
81.7791759,81.779170,0,1,
81.7938959,81.793900,1,1,
81.8136799,81.813680,1,0,
81.821384,81.821380,0,0,
82.265824,82.265820,0,1,
82.298008,82.298010,0,0,
82.3112479,82.311250,1,0,
82.340744,82.340740,0,0,
82.773792,82.773790,0,1,
82.7963999,82.796400,1,1,
82.803472,82.803470,1,0,
82.828688,82.828690,0,0,
83.269368,83.269370,1,0,
83.2991119,83.299110,1,1,
83.3017359,83.301730,0,1,
83.3288159,83.328820,0,0,
83.760392,83.760390,1,0,
83.7897919,83.789790,0,0,
83.8018479,83.801850,0,1,
83.8345279,83.834530,0,0,
84.28148,84.281480,1,0,
84.283496,84.283490,1,1,
84.3089119,84.308910,0,1,
84.3186559,84.318660,0,0,
84.7555759,84.755580,0,1,
84.789008,84.789010,0,0,
84.7990399,84.799040,1,0,
84.8279759,84.827970,0,0,
85.26392,85.263920,0,1,
85.294128,85.294130,0,0,
85.297456,85.297450,1,0,
85.329624,85.329620,0,0,
85.766312,85.766310,1,0,
85.782032,85.782030,1,1,
85.799216,85.799220,0,1,
85.8117439,85.811740,0,0,
